민원접수번호,공개여부,민원제목,민원내용,글조회수,주소,첨부파일,민원등록일,민원수정일,민원답변일,처리부서,진행상태
12011,비공개,[답변]답변,"안녕하십니까? 김해시장 허성곤입니다. 
우리시 인터넷 홈페이지「시장에게 바란다」를 통해 보내주신 의견은 잘 읽어 보았습니다. 

귀하께서 문의하신 “화정글샘도서관 컴퓨터 이용 건의사항과 버스운수종사자 안전운행 요청”에 대하여 답변 드리겠습니다. 

화정글샘도서관 디지털자료실의 경우, 불특정 다수의 시민들이 방문하기 때문에 이용자분들의 개인정보 및 로그기록, 작업자료 등의 외부유출을 막기 위해 하드보안관을 설치해 두었고, 그로 인해 컴퓨터 속도가 다소 느려질 수 있습니다. 

이에 화정글샘도서관 담당직원이 주기적으로 PC 상태(USB 장치 인식 여부, 윈도우 업데이트 등)를 점검하고 있으며, 전체 인터넷 속도와 관련해서는 통신업체와 연계하여 빠른 시일 내에 개선하겠습니다. 

또한, 자료실 마우스와 키보드 등 비품을 직원이 수시로 청소하고 있으나, 당일에는 바깥에서 유입되는 먼지로 인해 상태가 양호하지 못하였음을 양해해주시기 바라며, 전체 컴퓨터에 대한 청결상태를 점검한 후 청소 및 교체를 통해 쾌적한 환경에서 이용할 수 있도록 조치하였습니다. 

그리고 시내버스 난폭운행에 대하여 우리시는 시내버스 운수업체로 하여금 운수종사자들이 정류장 내 여객확인을 철저히 하여 승차 불편사항이 발생하지 않도록 하고, 안전수칙과 도로교통법 등 제반법규를 준수하여 안전 운행할 것을 행정지도 하였습니다. 

아울러, 시내버스 정류장 내 무정차 통과 시에 노선명, 일시, 정류장명, 운행방향을 알려주시면 사실조사 후 결과에 따라 행정조치를 내리겠습니다. 

본 답변과 관련하여 문의사항이 있으실 경우 우리시 화정글샘도서관(☎330-2994), 경전철혁신과(☎330-2433)로 연락주시면 친절히 답변 드리겠습니다. 

앞으로도 “깨끗한 시정, 하나된 김해”를 지향하는 우리 시정에 많은 관심과 성원을 당부드리며, 귀하의 가정에 항상 건강과 행운이 함께 하시길 기원합니다. 
감사합니다. 
",0,,,2016-07-07,2016-07-07,,감사담당관,
12009,비공개,[답변]답변,"안녕하십니까? 김해시장 허성곤입니다. 
우리시 인터넷 홈페이지「시장에게 바란다」를 통해 보내주신 의견은 잘 읽어 보았습니다. 

귀하께서 문의하신 “진영읍 하계로 공사차량 과속행위 단속 요청”에 대하여 답변 드리겠습니다. 

귀하께서 언급하신 진영읍 하계로 금병공원 너머 도로공사는 한국도로공사 창원김해건설사업단에서 시행하는 고속국도 제600호선 부산외곽순환고속도로 건설사업(제1공구) 공사입니다. 

이에 우리시는 하계로를 이용하는 공사차량의 과속과 난폭운전으로 인한 교통사고 발생 위험이 높다고 판단하여 해당 사업단에 귀하의 민원사항과 공사차량 정규속도 준수와 안전운행에 대한 조치를 할 수 있도록 협조 요청을 하였습니다. 

아울러, 관할 경찰서인 김해서부경찰서에도 관련 민원내용을 이송하여 공사차량의 과속과 난폭운전에 대한 현장 순찰 및 지도단속을 요청하였습니다. 

본 답변과 관련하여 문의사항이 있으실 경우 우리시 도로과(☎330-3833), 김해서부경찰서 경비교통과(☎310-0352)로 연락주시면 친절히 답변 드리겠습니다. 

앞으로도 “깨끗한 시정, 하나된 김해”를 지향하는 우리 시정에 많은 관심과 성원을 당부드리며, 귀하의 가정에 항상 건강과 행운이 함께 하시길 기원합니다. 
감사합니다. 
",0,,,2016-07-07,2016-07-07,,감사담당관,
12012,공개,[답변]답변,"안녕하십니까? 김해시장 허성곤입니다. 
우리시 인터넷 홈페이지「시장에게 바란다」를 통해 보내주신 의견은 잘 읽어 보았습니다. 

귀하께서 문의하신 “97번 시내버스 정류장 승객 탑승”에 대하여 답변 드리겠습니다. 

먼저, 귀하께서 97번 시내버스 이용에 불편을 겪으신 점에 대해 안타깝게 생각합니다. 

귀하의 민원내용에 대해 확인한 결과, 정류장에 먼저 도착한 버스 뒤에 97번 버스가 정차한 후 승객들 승하차가 이루어 졌으며, 이후 해당 버스 운수종사자가 귀하를 인지하지 못 하고 버스에 탑승할 이용자들이 모두 탔다고 생각하여 출발한 것으로 확인하였습니다. 

이와 관련하여 우리시는 가야IBS(주)로 하여금 정류장 내 여객확인을 보다 철저히 하도록 행정지도 하였습니다만, 사각지대에서 버스 탑승을 위해 달려오는 사람이나 운수종사자가 출발하고자 도로상황을 살피는 경우에는 버스 이용자를 인지하기 어려운 경우가 있으니 이점 널리 양해하여 주시기 바랍니다. 

본 답변과 관련하여 문의사항이 있으실 경우 우리시 경전철혁신과(☎330-2433)로 연락주시면 친절히 답변 드리겠습니다. 

앞으로도 “깨끗한 시정, 하나된 김해”를 지향하는 우리 시정에 많은 관심과 성원을 당부드리며, 귀하의 가정에 항상 건강과 행운이 함께 하시길 기원합니다. 
감사합니다. 
",0,,,2016-07-07,2016-07-07,,감사담당관,
11997,비공개,[답변]답변,"안녕하십니까? 김해시장 허성곤입니다. 
우리시 인터넷 홈페이지「시장에게 바란다」를 통해 보내주신 의견은 잘 읽어 보았습니다. 

귀하께서 문의하신 “생림면 도요리 불법 수상레저 활동 단속요청”에 대하여 답변 드리겠습니다. 

우리시는 생림면 도요리 불법 수상레저 사업장에 대해 6. 25(토) ~ 6. 26(일) 2일에 걸쳐 김해중부경찰서와 합동 단속하여 무등록 수상레저 사업장 영업행위, 무면허수상레저 사업장 영업행위, 무면허 수상레저기구 조종, 개인 활동자 안전장비 미착용 등의 행위를 적발하여 행정조치 하였습니다. 

아울러, 경찰과 협조를 통해 지속적으로 단속하고 있으며, 금후 불법 수상레저시설 사업장을 철거하기 위해 행정대집행을 실시할 예정임을 알려드립니다. 

본 답변과 관련하여 문의사항이 있으실 경우 우리시 건설과(☎330-4824)로 연락주시면 친절히 답변 드리겠습니다. 

앞으로도 “깨끗한 시정, 하나된 김해”를 지향하는 우리 시정에 많은 관심과 성원을 당부드리며, 귀하의 가정에 항상 건강과 행운이 함께 하시길 기원합니다. 
감사합니다. 
",0,,,2016-07-06,2016-07-06,,감사담당관,
11998,공개,[답변]답변,"안녕하십니까? 김해시장 허성곤입니다. 
우리시 인터넷 홈페이지「시장에게 바란다」를 통해 보내주신 의견은 잘 읽어 보았습니다. 

귀하께서 문의하신 “율하지역 악취”에 대하여 답변 드리겠습니다. 

우리시는 지난 4월부터 5월까지 축사점검을 실시하고 새벽과 야간시간대에 축사 및 율하지역 아파트 단지를 순찰하였습니다만, 일시적인 순찰로 악취 발생시간대나 악취 정도를 파악하는데 한계가 있어, 6월부터는 축사악취에 노출되어 있는 아파트단지에 협조를 구하여 축사악취 발생 정도를 모니터링하고 있습니다. 

이에 모니터링 결과를 참고하여 악취 시료를 채취하고 경상남도보건환경연구원에 악취도 분석을 의뢰하여 행정처분 등 축사악취 문제를 지속적으로 관리할 예정임을 알려드립니다. 

본 답변과 관련하여 문의사항이 있으실 경우 우리시 생활지원과(☎330-6803)로 연락주시면 친절히 답변 드리겠습니다. 

앞으로도 “깨끗한 시정, 하나된 김해”를 지향하는 우리 시정에 많은 관심과 성원을 당부드리며, 귀하의 가정에 항상 건강과 행운이 함께 하시길 기원합니다. 
감사합니다. 
",0,,,2016-07-06,2016-07-06,,감사담당관,
11970,공개,[답변]답변,"안녕하십니까? 김해시 부시장 윤성혜입니다. 
우리시 인터넷 홈페이지「시장에게 바란다」를 통해 보내주신 의견은 잘 읽어 보았습니다. 

귀하께서 문의하신 “장유 율하동 비행기 소음문제”에 대하여 답변 드리겠습니다. 

먼저, 장유 율하동 상공 비행기 소음문제로 인해 생활불편이 초래되어 안타깝게 생각합니다. 

우리 지역 내 항공기 소음과 관련하여 김해공항 항공기 소음 측정과 소음대책사업 등은 한국공항공사 부산지역본부에서 관리하고 있으며, 관제 업무는 공군부대에서 담당하고 있습니다. 

그 동안 우리시에서는 항공기로 인한 시민들의 불편 최소화를 위해 부산지방항공청 및 한국공항공사, 공군부대 등 관계기관에 항로변경, 고도조정 등을 지속적으로 요청하고 있으나,『국제민간항공조약』에서 채택된 표준과 방식에 따라 항공기의 안전운항을 위해 항로 및 고도 조정이 어렵다는 답변을 받고 있는 실정임을 이해하여 주시기 바랍니다. 

최근 율하지역의 항공기 운항횟수 증가는 항공기의 항로가 풍향에 따라 일부 조정되는 관계로 풍향이 남풍일 경우 항공기가 율하지역 상공을 경유하여 착륙함으로 인해 항공기 운항횟수가 증가하였으며, 또한 항로 변경 시에 미리 공고하는 사항은 한국공항공사 부산지역본부 등 관련 기관에 요청하겠습니다. 

아울러, 항공기 소음관련 정보에 대해서는 공항소음정보시스템(www.airportnoise.kr)에서 확인하실 수 있습니다. 

본 답변과 관련하여 문의사항이 있으실 경우 우리시 환경관리과(☎330-3363)로 연락주시면 친절히 답변 드리겠습니다. 

앞으로도 “깨끗한 시정, 하나된 김해”를 지향하는 우리 시정에 많은 관심과 성원을 당부드리며, 귀하의 가정에 항상 건강과 행운이 함께 하시길 기원합니다. 
감사합니다. 
",0,,,2016-07-05,2016-07-05,,감사담당관,
11976,공개,[답변]답변,"안녕하십니까? 김해시장 허성곤입니다. 
우리시 인터넷 홈페이지「시장에게 바란다」를 통해 보내주신 의견은 잘 읽어 보았습니다. 

귀하께서 문의하신 “김해낙동강레일파크 내 레일바이크 이용요금 개선”에 대하여 답변 드리겠습니다. 

먼저, 김해낙동강레일파크를 방문해주셔서 감사드리며, 레일바이크 이용요금에 불편을 느끼신 점에 대해서는 안타깝게 생각합니다. 

타 지역 레일바이크의 경우 국가유공자 할인은 20%~50%로 본인만 가능하지만, 김해시 레일바이크는 국가유공자분들에게 많은 혜택을 드리기 위해 본인 및 배우자에게 무료로 이용할 수 있도록 적용하였습니다. 

그리고 레일바이크 운영관리상 1대 운영을 위해서는 최소 2명이 탑승을 하셔야 하기에 2인부터 요금을 정하게 되었습니다. 

아울러, 귀하께서 건의하신 내용을 참고하여 1인 추가의 경우 요금을 적정하게 적용할 수 있도록 적극 검토 중이며, 빠른 시일 내에 적용하도록 조치하겠습니다. 
김해낙동강레일파크에 더 많은 관심과 성원을 부탁드리며, 본 답변과 관련하여 문의사항이 있으실 경우 우리시 관광과(☎330-3903)로 연락주시면 친절히 답변 드리겠습니다. 

앞으로도 “깨끗한 시정, 하나된 김해”를 지향하는 우리 시정에 많은 관심과 성원을 당부드리며, 귀하의 가정에 항상 건강과 행운이 함께 하시길 기원합니다. 
감사합니다. 
",0,,,2016-07-05,2016-07-05,,감사담당관,
11977,공개,[답변]답변,"안녕하십니까? 김해시장 허성곤입니다. 
우리시 인터넷 홈페이지「시장에게 바란다」를 통해 보내주신 의견은 잘 읽어 보았습니다. 

귀하께서 문의하신 “지내동 지역 공단 악취문제 해결”에 대하여 답변 드리겠습니다. 

먼저, 안동·어방동·지내동 지역은 공장들이 주거지역과 인접해 있어 생활환경을 저해하고 있으나, 지역적 특성으로 악취문제의 근본적인 해소가 어려운 실정입니다. 

우리시는 안동, 지내동 공업지역 일대에 대하여 7월 1일 오전 순찰과 악취유발업소에 대하여 확인하였으나 불법행위는 발견치 못하였으며, 공업지역 특유의 악취를 감지할 수 있었습니다. 

악취는 시각적인 확인이 어렵고 기상여건에 따라 변화하는 특성으로 주변 영향이 수시로 변화됨에 따라 발생원 색출에 어려움이 있으나, 해당 지역 사업장의 악취발생업종을 파악하고 있기에 사업장 수시 점검과 야간 단속으로 악취저감을 위한 최선의 노력을 하고 있습니다. 

아울러, 우리시는 지속적인 사업장 관리를 통해 인근 주민들의 생활환경 피해를 최소화하도록 만전을 기하겠습니다. 

본 답변과 관련하여 문의사항이 있으실 경우 우리시 환경관리과(☎330-3366)로 연락주시면 친절히 답변 드리겠습니다. 

앞으로도 “깨끗한 시정, 하나된 김해”를 지향하는 우리 시정에 많은 관심과 성원을 당부드리며, 귀하의 가정에 항상 건강과 행운이 함께 하시길 기원합니다. 
감사합니다. 
",0,,,2016-07-05,2016-07-05,,감사담당관,
11978,비공개,[답변]답변,"안녕하십니까? 김해시장 허성곤입니다. 
우리시 인터넷 홈페이지「시장에게 바란다」를 통해 보내주신 의견은 잘 읽어 보았습니다. 

귀하께서 문의하신 “불법 화물운송행위 업체 불법행위 고발 및 시정조치 요구”에 대하여 답변 드리겠습니다. 
귀하께서 고발하신 왕재물류(주)의 화물자동차운수사업과 관련한 불법행위를 요약하면, 

첫째, 자가용 화물자동차의 유상운송 알선행위 
둘째, 화물운송 종사자격 없는 자에게 화물을 운송에게 하게 한 행위 
셋째, 화물자동차 매매계약 파기에 따른 계약금액 미환급 
넷째, 화물자동차 매매 수수료 부당청구 
다섯째, 기타 화물운수사업의 총괄 위반 사항이며, 이들 불법사항의 시정을 요청하였습니다. 

첫째, 우리시에서 왕재물류(주)의 위 불법사항을 조사한 결과, 화물자동차운수사업상 『자가용의 유상운송행위』를 『자가용 화물자동차의 소유자 또는 사용자는 유상으로 화물운송으로 제공하거나 임대하여서는 아니된다』라고 규정되어 있고 이 규정을 위반한 자가용 화물자동차의 소유자 또는 사용자는 6개월 이내의 운행정지 행정처분 대상이나, 자가용 유상운송 알선에 관한 규정은 없습니다. 

참고로 귀하께서 제기한 자가용 유상운송행위에 제공된 92고9428호 차량의 소유자는 창원시 마산합포구 거주 이**로 관할 행정기관은 마산합포구청임을 알려드립니다. 

둘째, 귀하께서 제기한 왕재물류의 화물운송 종사자격 없는 자에게 화물을 운송하게 한 행위와 관련하여, 왕재물류 소속 사업용 화물자동차는 총4대(경남8*아 6***, 경남8*아1***, 경남8*아4***, 경남9*자8***)로 이들 차량의 지입차주는 화물운송 종사자격을 소지한 자로 위법사항이 없습니다. 

셋째, 화물자동차의 매매계약 파기에 따른 계약금 환급은 민사소송으로 해결하여야 할 사항으로 판단됩니다. 

넷째, 화물자동차 매매에 따른 수수료 부당 청구 사항은 조사 후 위법사항 발견 시 조치하겠습니다. 

다섯째, 기타 화물자동차운수사업법 제반위반 사항과 관련하여, 왕재물류 소속 차량중 경남9*자8***호 차량은 위수탁 계약 차량으로 『자동차관리법』에 따른 자동차등록원부에 ‘현물출자’ 로 등록하여야 함에도 등록하지 않아 행정처분(과징금)에 앞서 사전통지(의견제출) 중에 있습니다. 

아울러, 우리시에서 현재 처리중인 사항의 결과는 추후 별도로 통보해드리겠으며, 본 답변과 관련하여 문의사항이 있으실 경우 우리시 교통관리과(☎330-6573)로 연락주시면 친절히 답변 드리겠습니다. 

앞으로도 “깨끗한 시정, 하나된 김해”를 지향하는 우리 시정에 많은 관심과 성원을 당부드리며, 귀하의 가정에 항상 건강과 행운이 함께 하시길 기원합니다. 
감사합니다. 
",0,,,2016-07-05,2016-07-05,,감사담당관,
11979,공개,[답변]답변,"안녕하십니까? 김해시장 허성곤입니다. 
우리시 인터넷 홈페이지「시장에게 바란다」를 통해 보내주신 의견은 잘 읽어 보았습니다. 

귀하께서 문의하신 “생림면 와인동굴 이용 시 불편사항 개선요청”에 대하여 답변 드리겠습니다. 

먼저, 생림면 소재 와인동굴을 방문해주셔서 감사드리며, 시설 이용에 불편을 겪으신 점에 대해서는 송구스럽게 생각합니다. 

와인동굴 입장 티켓 발매 시에 방문객들에게 19시 이후부터는 20시에 시설관람을 마감하오니 유의하시라는 안내를 해드리고 있으나, 좀 더 상세하고 빠짐없는 안내가 이루어지도록 조치하겠습니다. 

현재, 와인동굴 안에서의 와인판매는 개인 임대업장에서 관리하고 있으며, 귀하의 불편사례와 의견을 반영하여 좀 더 친절하게 방문객에게 응대 할 수 있도록 최선을 다하겠습니다. 

본 답변과 관련하여 문의사항이 있으실 경우 우리시 관광과(☎330-3903)로 연락주시면 친절히 답변 드리겠습니다. 

앞으로도 “깨끗한 시정, 하나된 김해”를 지향하는 우리 시정에 많은 관심과 성원을 당부드리며, 귀하의 가정에 항상 건강과 행운이 함께 하시길 기원합니다. 
감사합니다. 
",0,,,2016-07-05,2016-07-05,,감사담당관,
